Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag",Location 1,Location 2
S. ATLANTIC,2017,1,175,,175,,504,,175,,230,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",S. ATLANTIC
DELAWARE,2017,1,3,,3,,7,,3,,2,,"{'needs_recoding': False, 'longitude': '-75.574561', 'latitude': '39.008676', 'human_address': '{""address"":"""",""city"":"""",""state"":""DELAWARE"",""zip"":""""}'}",
DIST. OF COL.,2017,1,6,,4,,6,,6,,8,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""DIST. OF COL."",""zip"":""""}'}",
FLORIDA,2017,1,68,,68,,167,,68,,102,,"{'needs_recoding': False, 'longitude': '-81.922409', 'latitude': '28.915325', 'human_address': '{""address"":"""",""city"":"""",""state"":""FLORIDA"",""zip"":""""}'}",
GEORGIA,2017,1,34,,34,,84,,34,,50,,"{'needs_recoding': False, 'longitude': '-83.631709', 'latitude': '32.836038', 'human_address': '{""address"":"""",""city"":"""",""state"":""GEORGIA"",""zip"":""""}'}",
MARYLAND,2017,1,22,,22,,80,,22,,18,,"{'needs_recoding': False, 'longitude': '-76.612333', 'latitude': '39.290443', 'human_address': '{""address"":"""",""city"":"""",""state"":""MARYLAND"",""zip"":""""}'}",
NORTH CAROLINA,2017,1,12,,12,,81,,12,,21,,"{'needs_recoding': False, 'longitude': '-79.180571', 'latitude': '35.47995', 'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH CAROLINA"",""zip"":""""}'}",
SOUTH CAROLINA,2017,1,6,,6,,31,,6,,13,,"{'needs_recoding': False, 'longitude': '-81.037094', 'latitude': '34.009286', 'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH CAROLINA"",""zip"":""""}'}",
VIRGINIA,2017,1,21,,21,,79,,21,,14,,"{'needs_recoding': False, 'longitude': '-78.45822', 'latitude': '37.542699', 'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGINIA"",""zip"":""""}'}",
WEST VIRGINIA,2017,1,3,,3,,5,,3,,2,,"{'needs_recoding': False, 'longitude': '-80.709421', 'latitude': '38.668501', 'human_address': '{""address"":"""",""city"":"""",""state"":""WEST VIRGINIA"",""zip"":""""}'}",
E.S. CENTRAL,2017,1,94,,87,,122,,94,,34,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",E.S. CENTRAL
ALABAMA,2017,1,38,,27,,38,,38,,16,,"{'needs_recoding': False, 'longitude': '-86.631125', 'latitude': '32.839182', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALABAMA"",""zip"":""""}'}",
KENTUCKY,2017,1,19,,19,,33,,19,,,-,"{'needs_recoding': False, 'longitude': '-84.774043', 'latitude': '37.64591', 'human_address': '{""address"":"""",""city"":"""",""state"":""KENTUCKY"",""zip"":""""}'}",
