Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag",Location 1,Location 2
MONTANA,2017,2,2,,1,,2,,3,,1,,"{'needs_recoding': False, 'longitude': '-109.430168', 'latitude': '47.062617', 'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}'}",
NEVADA,2017,2,16,,15,,19,,32,,21,,"{'needs_recoding': False, 'longitude': '-117.070159', 'latitude': '39.491833', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}'}",
NEW MEXICO,2017,2,6,,6,,14,,14,,12,,"{'needs_recoding': False, 'longitude': '-106.244402', 'latitude': '34.520396', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}'}",
UTAH,2017,2,6,,6,,13,,19,,8,,"{'needs_recoding': False, 'longitude': '-111.584173', 'latitude': '39.359772', 'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}'}",
WYOMING,2017,2,,-,0,,0,,,-,1,,"{'needs_recoding': False, 'longitude': '-108.110518', 'latitude': '43.23558', 'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}'}",
PACIFIC,2017,2,388,,388,,739,,870,,1144,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",PACIFIC
ALASKA,2017,2,14,,9,,14,,23,,33,,"{'needs_recoding': False, 'longitude': '-147.738891', 'latitude': '64.836661', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}'}",
CALIFORNIA,2017,2,335,,335,,617,,734,,924,,"{'needs_recoding': False, 'longitude': '-121.002435', 'latitude': '37.640735', 'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}'}",
HAWAII,2017,2,20,,20,,34,,53,,52,,"{'needs_recoding': False, 'longitude': '-157.858158', 'latitude': '21.30992', 'human_address': '{""address"":"""",""city"":"""",""state"":""HAWAII"",""zip"":""""}'}",
OREGON,2017,2,19,,16,,20,,35,,34,,"{'needs_recoding': False, 'longitude': '-120.156945', 'latitude': '44.567912', 'human_address': '{""address"":"""",""city"":"""",""state"":""OREGON"",""zip"":""""}'}",
WASHINGTON,2017,2,,-,0,,54,,25,,101,,"{'needs_recoding': False, 'longitude': '-120.467672', 'latitude': '47.517368', 'human_address': '{""address"":"""",""city"":"""",""state"":""WASHINGTON"",""zip"":""""}'}",
AMER. SAMOA,2017,2,,-,0,,1,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""AMER. SAMOA"",""zip"":""""}'}",
C.N.M.I.,2017,2,8,,4,,9,,17,,16,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""C.N.M.I."",""zip"":""""}'}",
GUAM,2017,2,5,,5,,25,,18,,34,,"{'needs_recoding': False, 'longitude': '144.653198', 'latitude': '13.3532', 'human_address': '{""address"":"""",""city"":"""",""state"":""GUAM"",""zip"":""""}'}",
PUERTO RICO,2017,2,8,,8,,32,,16,,23,,"{'needs_recoding': False, 'longitude': '-66.414655', 'latitude': '18.215692', 'human_address': '{""address"":"""",""city"":"""",""state"":""PUERTO RICO"",""zip"":""""}'}",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGIN ISL."",""zip"":""""}'}",
UNITED STATES,2017,3,1606,,1606,,2787,,5559,,6437,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",UNITED STATES
NEW ENGLAND,2017,3,69,,57,,88,,192,,210,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",NEW ENGLAND
CONNECTICUT,2017,3,12,,12,,16,,36,,36,,"{'needs_recoding': False, 'longitude': '-72.651713', 'latitude': '41.544654', 'human_address': '{""address"":"""",""city"":"""",""state"":""CONNECTICUT"",""zip"":""""}'}",
MAINE,2017,3,5,,2,,5,,12,,18,,"{'needs_recoding': False, 'longitude': '-68.986647', 'latitude': '45.252223', 'human_address': '{""address"":"""",""city"":"""",""state"":""MAINE"",""zip"":""""}'}",
MASSACHUSETTS,2017,3,43,,36,,56,,121,,134,,"{'needs_recoding': False, 'longitude': '-72.085064', 'latitude': '42.268546', 'human_address': '{""address"":"""",""city"":"""",""state"":""MASSACHUSETTS"",""zip"":""""}'}",
NEW HAMPSHIRE,2017,3,3,,3,,5,,11,,10,,"{'needs_recoding': False, 'longitude': '-71.500736', 'latitude': '43.657736', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW HAMPSHIRE"",""zip"":""""}'}",
RHODE ISLAND,2017,3,5,,2,,5,,10,,9,,"{'needs_recoding': False, 'longitude': '-71.522488', 'latitude': '41.707447', 'human_address': '{""address"":"""",""city"":"""",""state"":""RHODE ISLAND"",""zip"":""""}'}",
VERMONT,2017,3,1,,0,,3,,2,,3,,"{'needs_recoding': False, 'longitude': '-72.51927', 'latitude': '43.622479', 'human_address': '{""address"":"""",""city"":"""",""state"":""VERMONT"",""zip"":""""}'}",
MID. ATLANTIC,2017,3,335,,261,,357,,904,,863,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",MID. ATLANTIC
NEW JERSEY,2017,3,79,,33,,122,,170,,172,,"{'needs_recoding': False, 'longitude': '-74.386686', 'latitude': '40.104655', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW JERSEY"",""zip"":""""}'}",
NEW YORK,2017,3,48,,36,,69,,130,,133,,"{'needs_recoding': False, 'longitude': '-75.544286', 'latitude': '42.826892', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK"",""zip"":""""}'}",
NEW YORK CITY,2017,3,172,,130,,172,,463,,428,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK CITY"",""zip"":""""}'}",
PENNSYLVANIA,2017,3,36,,36,,54,,141,,130,,"{'needs_recoding': False, 'longitude': '-77.858055', 'latitude': '40.789676', 'human_address': '{""address"":"""",""city"":"""",""state"":""PENNSYLVANIA"",""zip"":""""}'}",
E.N. CENTRAL,2017,3,132,,132,,229,,492,,522,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",E.N. CENTRAL
ILLINOIS,2017,3,52,,52,,96,,226,,248,,"{'needs_recoding': False, 'longitude': '-88.993221', 'latitude': '40.477092', 'human_address': '{""address"":"""",""city"":"""",""state"":""ILLINOIS"",""zip"":""""}'}",
INDIANA,2017,3,25,,21,,34,,69,,75,,"{'needs_recoding': False, 'longitude': '-86.156212', 'latitude': '39.76845', 'human_address': '{""address"":"""",""city"":"""",""state"":""INDIANA"",""zip"":""""}'}",
MICHIGAN,2017,3,21,,19,,42,,74,,91,,"{'needs_recoding': False, 'longitude': '-84.711206', 'latitude': '44.66399', 'human_address': '{""address"":"""",""city"":"""",""state"":""MICHIGAN"",""zip"":""""}'}",
OHIO,2017,3,25,,25,,58,,93,,84,,"{'needs_recoding': False, 'longitude': '-82.405897', 'latitude': '40.056807', 'human_address': '{""address"":"""",""city"":"""",""state"":""OHIO"",""zip"":""""}'}",
WISCONSIN,2017,3,9,,9,,16,,30,,24,,"{'needs_recoding': False, 'longitude': '-89.834513', 'latitude': '44.395526', 'human_address': '{""address"":"""",""city"":"""",""state"":""WISCONSIN"",""zip"":""""}'}",
W.N. CENTRAL,2017,3,57,,57,,110,,184,,305,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",W.N. CENTRAL
IOWA,2017,3,,-,0,,6,,1,,38,,"{'needs_recoding': False, 'longitude': '-93.815856', 'latitude': '42.46942', 'human_address': '{""address"":"""",""city"":"""",""state"":""IOWA"",""zip"":""""}'}",
KANSAS,2017,3,1,,1,,9,,12,,30,,"{'needs_recoding': False, 'longitude': '-98.201847', 'latitude': '38.345528', 'human_address': '{""address"":"""",""city"":"""",""state"":""KANSAS"",""zip"":""""}'}",
MINNESOTA,2017,3,42,,19,,59,,100,,109,,"{'needs_recoding': False, 'longitude': '-94.793397', 'latitude': '46.357661', 'human_address': '{""address"":"""",""city"":"""",""state"":""MINNESOTA"",""zip"":""""}'}",
MISSOURI,2017,3,5,,5,,22,,38,,79,,"{'needs_recoding': False, 'longitude': '-92.566292', 'latitude': '38.636168', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSOURI"",""zip"":""""}'}",
NEBRASKA,2017,3,1,,1,,6,,12,,22,,"{'needs_recoding': False, 'longitude': '-99.367122', 'latitude': '41.640503', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEBRASKA"",""zip"":""""}'}",
NORTH DAKOTA,2017,3,7,,0,,7,,11,,17,,"{'needs_recoding': False, 'longitude': '-100.121011', 'latitude': '47.475879', 'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH DAKOTA"",""zip"":""""}'}",
SOUTH DAKOTA,2017,3,1,,1,,6,,10,,10,,"{'needs_recoding': False, 'longitude': '-100.373709', 'latitude': '44.35371', 'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH DAKOTA"",""zip"":""""}'}",
S. ATLANTIC,2017,3,327,,307,,500,,1007,,1235,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",S. ATLANTIC
DELAWARE,2017,3,3,,3,,4,,11,,13,,"{'needs_recoding': False, 'longitude': '-75.574561', 'latitude': '39.008676', 'human_address': '{""address"":"""",""city"":"""",""state"":""DELAWARE"",""zip"":""""}'}",
DIST. OF COL.,2017,3,7,,4,,9,,23,,21,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""DIST. OF COL."",""zip"":""""}'}",
FLORIDA,2017,3,76,,76,,161,,329,,478,,"{'needs_recoding': False, 'longitude': '-81.922409', 'latitude': '28.915325', 'human_address': '{""address"":"""",""city"":"""",""state"":""FLORIDA"",""zip"":""""}'}",
GEORGIA,2017,3,64,,64,,70,,203,,235,,"{'needs_recoding': False, 'longitude': '-83.631709', 'latitude': '32.836038', 'human_address': '{""address"":"""",""city"":"""",""state"":""GEORGIA"",""zip"":""""}'}",
MARYLAND,2017,3,56,,24,,80,,138,,140,,"{'needs_recoding': False, 'longitude': '-76.612333', 'latitude': '39.290443', 'human_address': '{""address"":"""",""city"":"""",""state"":""MARYLAND"",""zip"":""""}'}",
NORTH CAROLINA,2017,3,46,,29,,80,,127,,137,,"{'needs_recoding': False, 'longitude': '-79.180571', 'latitude': '35.47995', 'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH CAROLINA"",""zip"":""""}'}",
SOUTH CAROLINA,2017,3,23,,10,,26,,47,,76,,"{'needs_recoding': False, 'longitude': '-81.037094', 'latitude': '34.009286', 'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH CAROLINA"",""zip"":""""}'}",
VIRGINIA,2017,3,45,,24,,77,,115,,126,,"{'needs_recoding': False, 'longitude': '-78.45822', 'latitude': '37.542699', 'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGINIA"",""zip"":""""}'}",
WEST VIRGINIA,2017,3,7,,3,,7,,14,,9,,"{'needs_recoding': False, 'longitude': '-80.709421', 'latitude': '38.668501', 'human_address': '{""address"":"""",""city"":"""",""state"":""WEST VIRGINIA"",""zip"":""""}'}",
E.S. CENTRAL,2017,3,96,,79,,122,,274,,245,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",E.S. CENTRAL
ALABAMA,2017,3,33,,23,,37,,93,,81,,"{'needs_recoding': False, 'longitude': '-86.631125', 'latitude': '32.839182', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALABAMA"",""zip"":""""}'}",
KENTUCKY,2017,3,16,,13,,33,,48,,58,,"{'needs_recoding': False, 'longitude': '-84.774043', 'latitude': '37.64591', 'human_address': '{""address"":"""",""city"":"""",""state"":""KENTUCKY"",""zip"":""""}'}",
MISSISSIPPI,2017,3,16,,9,,22,,40,,39,,"{'needs_recoding': False, 'longitude': '-89.537312', 'latitude': '32.738663', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSISSIPPI"",""zip"":""""}'}",
TENNESSEE,2017,3,31,,28,,36,,93,,67,,"{'needs_recoding': False, 'longitude': '-85.774444', 'latitude': '35.681402', 'human_address': '{""address"":"""",""city"":"""",""state"":""TENNESSEE"",""zip"":""""}'}",
W.S. CENTRAL,2017,3,156,,156,,384,,808,,1162,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",W.S. CENTRAL
ARKANSAS,2017,3,24,,14,,27,,63,,64,,"{'needs_recoding': False, 'longitude': '-92.275105', 'latitude': '34.748745', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}'}",
LOUISIANA,2017,3,12,,12,,39,,76,,92,,"{'needs_recoding': False, 'longitude': '-92.463284', 'latitude': '31.2931', 'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}'}",
OKLAHOMA,2017,3,14,,11,,18,,37,,60,,"{'needs_recoding': False, 'longitude': '-97.521264', 'latitude': '35.468494', 'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}'}",
TEXAS,2017,3,106,,106,,304,,632,,946,,"{'needs_recoding': False, 'longitude': '-99.423022', 'latitude': '31.827233', 'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}'}",
MOUNTAIN,2017,3,53,,53,,257,,253,,132,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",MOUNTAIN
ARIZONA,2017,3,11,,11,,188,,93,,,-,"{'needs_recoding': False, 'longitude': '-111.760902', 'latitude': '34.869712', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}'}",
COLORADO,2017,3,14,,13,,28,,55,,46,,"{'needs_recoding': False, 'longitude': '-106.132562', 'latitude': '38.841772', 'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}'}",
IDAHO,2017,3,,-,0,,11,,4,,7,,"{'needs_recoding': False, 'longitude': '-114.364237', 'latitude': '43.680635', 'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}'}",
MONTANA,2017,3,,-,0,,2,,3,,2,,"{'needs_recoding': False, 'longitude': '-109.430168', 'latitude': '47.062617', 'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}'}",
NEVADA,2017,3,19,,16,,19,,51,,36,,"{'needs_recoding': False, 'longitude': '-117.070159', 'latitude': '39.491833', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}'}",
NEW MEXICO,2017,3,7,,7,,13,,24,,26,,"{'needs_recoding': False, 'longitude': '-106.244402', 'latitude': '34.520396', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}'}",
UTAH,2017,3,2,,2,,13,,21,,14,,"{'needs_recoding': False, 'longitude': '-111.584173', 'latitude': '39.359772', 'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}'}",
WYOMING,2017,3,,-,0,,2,,2,,1,,"{'needs_recoding': False, 'longitude': '-108.110518', 'latitude': '43.23558', 'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}'}",
PACIFIC,2017,3,381,,381,,740,,1445,,1763,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",PACIFIC
ALASKA,2017,3,7,,7,,17,,33,,43,,"{'needs_recoding': False, 'longitude': '-147.738891', 'latitude': '64.836661', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}'}",
CALIFORNIA,2017,3,340,,340,,616,,1250,,1432,,"{'needs_recoding': False, 'longitude': '-121.002435', 'latitude': '37.640735', 'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}'}",
HAWAII,2017,3,24,,24,,36,,90,,85,,"{'needs_recoding': False, 'longitude': '-157.858158', 'latitude': '21.30992', 'human_address': '{""address"":"""",""city"":"""",""state"":""HAWAII"",""zip"":""""}'}",
OREGON,2017,3,10,,10,,21,,47,,50,,"{'needs_recoding': False, 'longitude': '-120.156945', 'latitude': '44.567912', 'human_address': '{""address"":"""",""city"":"""",""state"":""OREGON"",""zip"":""""}'}",
WASHINGTON,2017,3,,-,0,,54,,25,,153,,"{'needs_recoding': False, 'longitude': '-120.467672', 'latitude': '47.517368', 'human_address': '{""address"":"""",""city"":"""",""state"":""WASHINGTON"",""zip"":""""}'}",
AMER. SAMOA,2017,3,,-,0,,1,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""AMER. SAMOA"",""zip"":""""}'}",
C.N.M.I.,2017,3,3,,3,,12,,24,,23,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""C.N.M.I."",""zip"":""""}'}",
GUAM,2017,3,,-,0,,25,,18,,50,,"{'needs_recoding': False, 'longitude': '144.653198', 'latitude': '13.3532', 'human_address': '{""address"":"""",""city"":"""",""state"":""GUAM"",""zip"":""""}'}",
PUERTO RICO,2017,3,10,,8,,32,,26,,37,,"{'needs_recoding': False, 'longitude': '-66.414655', 'latitude': '18.215692', 'human_address': '{""address"":"""",""city"":"""",""state"":""PUERTO RICO"",""zip"":""""}'}",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGIN ISL."",""zip"":""""}'}",
UNITED STATES,2017,4,1613,,1613,,2213,,7831,,9224,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",UNITED STATES
NEW ENGLAND,2017,4,73,,66,,91,,297,,298,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",NEW ENGLAND
CONNECTICUT,2017,4,6,,6,,19,,51,,52,,"{'needs_recoding': False, 'longitude': '-75.371098', 'latitude': '37.937331', 'human_address': '{""address"":"""",""city"":""CONNECTICUT"",""state"":"""",""zip"":""""}'}",
MAINE,2017,4,1,,1,,6,,14,,23,,"{'needs_recoding': False, 'longitude': '-95.821489', 'latitude': '46.415823', 'human_address': '{""address"":"""",""city"":""MAINE"",""state"":"""",""zip"":""""}'}",
MASSACHUSETTS,2017,4,58,,43,,58,,200,,190,,"{'needs_recoding': False, 'longitude': '-84.041397', 'latitude': '30.5944', 'human_address': '{""address"":"""",""city"":""MASSACHUSETTS"",""state"":"""",""zip"":""""}'}",
NEW HAMPSHIRE,2017,4,6,,3,,6,,17,,15,,"{'needs_recoding': False, 'longitude': '-83.952181', 'latitude': '40.555601', 'human_address': '{""address"":"""",""city"":""NEW HAMPSHIRE"",""state"":"""",""zip"":""""}'}",
RHODE ISLAND,2017,4,1,,1,,6,,12,,12,,"{'needs_recoding': False, 'longitude': '-75.800003', 'latitude': '42.678902', 'human_address': '{""address"":"""",""city"":""RHODE ISLAND"",""state"":"""",""zip"":""""}'}",
VERMONT,2017,4,1,,0,,1,,3,,6,,"{'needs_recoding': False, 'longitude': '-89.774973', 'latitude': '43.07516', 'human_address': '{""address"":"""",""city"":""VERMONT"",""state"":"""",""zip"":""""}'}",
MID. ATLANTIC,2017,4,315,,264,,331,,1222,,1220,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",MID. ATLANTIC
NEW JERSEY,2017,4,81,,35,,81,,254,,294,,"{'needs_recoding': False, 'longitude': '-97.053633', 'latitude': '36.882419', 'human_address': '{""address"":"""",""city"":""NEW JERSEY"",""state"":"""",""zip"":""""}'}",
NEW YORK,2017,4,41,,37,,49,,173,,202,,"{'needs_recoding': False, 'longitude': '-74.007228', 'latitude': '40.713054', 'human_address': '{""address"":"""",""city"":""NEW YORK"",""state"":"""",""zip"":""""}'}",
NEW YORK CITY,2017,4,147,,141,,169,,607,,558,,"{'needs_recoding': False, 'longitude': '-74.007228', 'latitude': '40.713054', 'human_address': '{""address"":"""",""city"":""NEW YORK CITY"",""state"":"""",""zip"":""""}'}",
PENNSYLVANIA,2017,4,46,,36,,55,,188,,166,,"{'needs_recoding': False, 'longitude': '-88.047501', 'latitude': '30.8731', 'human_address': '{""address"":"""",""city"":""PENNSYLVANIA"",""state"":"""",""zip"":""""}'}",
E.N. CENTRAL,2017,4,146,,146,,208,,659,,751,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",E.N. CENTRAL
ILLINOIS,2017,4,28,,28,,96,,254,,327,,"{'needs_recoding': False, 'longitude': '-98.483295', 'latitude': '47.976684', 'human_address': '{""address"":"""",""city"":""ILLINOIS"",""state"":"""",""zip"":""""}'}",
INDIANA,2017,4,33,,21,,33,,100,,109,,"{'needs_recoding': False, 'longitude': '-79.156034', 'latitude': '40.622982', 'human_address': '{""address"":"""",""city"":""INDIANA"",""state"":"""",""zip"":""""}'}",
MICHIGAN,2017,4,21,,19,,34,,107,,133,,"{'needs_recoding': False, 'longitude': '-98.121159', 'latitude': '48.029029', 'human_address': '{""address"":"""",""city"":""MICHIGAN"",""state"":"""",""zip"":""""}'}",
OHIO,2017,4,54,,26,,54,,149,,142,,"{'needs_recoding': False, 'longitude': '-89.461597', 'latitude': '41.557557', 'human_address': '{""address"":"""",""city"":""OHIO"",""state"":"""",""zip"":""""}'}",
WISCONSIN,2017,4,10,,10,,15,,49,,40,,"{'needs_recoding': False, 'longitude': '-94.934258', 'latitude': '43.645565', 'human_address': '{""address"":"""",""city"":""WISCONSIN"",""state"":"""",""zip"":""""}'}",
W.N. CENTRAL,2017,4,47,,47,,91,,289,,414,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",W.N. CENTRAL
IOWA,2017,4,6,,6,,16,,43,,45,,"{'needs_recoding': False, 'longitude': '-93.013604', 'latitude': '30.236799', 'human_address': '{""address"":"""",""city"":""IOWA"",""state"":"""",""zip"":""""}'}",
KANSAS,2017,4,,-,0,,7,,12,,39,,"{'needs_recoding': False, 'longitude': '-94.578559', 'latitude': '39.099792', 'human_address': '{""address"":"""",""city"":""KANSAS"",""state"":"""",""zip"":""""}'}",
MINNESOTA,2017,4,31,,19,,43,,132,,168,,"{'needs_recoding': False, 'longitude': '-83.910301', 'latitude': '31.311701', 'human_address': '{""address"":"""",""city"":""MINNESOTA"",""state"":"""",""zip"":""""}'}",
MISSOURI,2017,4,7,,7,,20,,62,,99,,"{'needs_recoding': False, 'longitude': '-100.627524', 'latitude': '46.693474', 'human_address': '{""address"":"""",""city"":""MISSOURI"",""state"":"""",""zip"":""""}'}",
NEBRASKA,2017,4,,-,0,,6,,15,,28,,"{'needs_recoding': False, 'longitude': '-85.459396', 'latitude': '39.063599', 'human_address': '{""address"":"""",""city"":""NEBRASKA"",""state"":"""",""zip"":""""}'}",
NORTH DAKOTA,2017,4,,-,0,,8,,12,,23,,"{'needs_recoding': False, 'longitude': '-87.856097', 'latitude': '42.319405', 'human_address': '{""address"":"""",""city"":""NORTH DAKOTA"",""state"":"""",""zip"":""""}'}",
SOUTH DAKOTA,2017,4,3,,1,,6,,13,,12,,"{'needs_recoding': False, 'longitude': '-121.292451', 'latitude': '37.957541', 'human_address': '{""address"":"""",""city"":""SOUTH DAKOTA"",""state"":"""",""zip"":""""}'}",
S. ATLANTIC,2017,4,261,,261,,415,,1369,,1736,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",S. ATLANTIC
DELAWARE,2017,4,1,,1,,5,,13,,16,,"{'needs_recoding': False, 'longitude': '-83.067539', 'latitude': '40.301498', 'human_address': '{""address"":"""",""city"":""DELAWARE"",""state"":"""",""zip"":""""}'}",
DIST. OF COL.,2017,4,6,,6,,10,,31,,25,,"{'needs_recoding': False, 'longitude': '-79.016899', 'latitude': '39.5247', 'human_address': '{""address"":"""",""city"":""DIST. OF COL."",""state"":"""",""zip"":""""}'}",
FLORIDA,2017,4,75,,75,,144,,481,,639,,"{'needs_recoding': False, 'longitude': '-73.054184', 'latitude': '42.693209', 'human_address': '{""address"":"""",""city"":""FLORIDA"",""state"":"""",""zip"":""""}'}",
GEORGIA,2017,4,47,,47,,79,,269,,300,,"{'needs_recoding': False, 'longitude': '-74.285004', 'latitude': '40.187199', 'human_address': '{""address"":"""",""city"":""GEORGIA"",""state"":"""",""zip"":""""}'}",
MARYLAND,2017,4,33,,24,,58,,172,,220,,"{'needs_recoding': False, 'longitude': '-74.886746', 'latitude': '42.536651', 'human_address': '{""address"":"""",""city"":""MARYLAND"",""state"":"""",""zip"":""""}'}",
NORTH CAROLINA,2017,4,39,,29,,52,,166,,217,,"{'needs_recoding': False, 'longitude': '-87.856097', 'latitude': '42.319405', 'human_address': '{""address"":"""",""city"":""NORTH CAROLINA"",""state"":"""",""zip"":""""}'}",
SOUTH CAROLINA,2017,4,,-,0,,23,,47,,102,,"{'needs_recoding': False, 'longitude': '-113.583277', 'latitude': '37.108284', 'human_address': '{""address"":"""",""city"":""SOUTH CAROLINA"",""state"":"""",""zip"":""""}'}",
VIRGINIA,2017,4,60,,24,,60,,175,,203,,"{'needs_recoding': False, 'longitude': '-92.538658', 'latitude': '47.523153', 'human_address': '{""address"":"""",""city"":""VIRGINIA"",""state"":"""",""zip"":""""}'}",
WEST VIRGINIA,2017,4,,-,0,,7,,15,,14,,"{'needs_recoding': False, 'longitude': '-92.57', 'latitude': '47.515598', 'human_address': '{""address"":"""",""city"":""WEST VIRGINIA"",""state"":"""",""zip"":""""}'}",
E.S. CENTRAL,2017,4,82,,79,,99,,355,,367,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",E.S. CENTRAL
ALABAMA,2017,4,29,,23,,37,,121,,112,,"{'needs_recoding': False, 'longitude': '-78.390997', 'latitude': '43.09641', 'human_address': '{""address"":"""",""city"":""ALABAMA"",""state"":"""",""zip"":""""}'}",
KENTUCKY,2017,4,14,,13,,19,,62,,91,,"{'needs_recoding': False, 'longitude': '-92.628314', 'latitude': '34.608189', 'human_address': '{""address"":"""",""city"":""KENTUCKY"",""state"":"""",""zip"":""""}'}",
MISSISSIPPI,2017,4,11,,9,,16,,51,,61,,"{'needs_recoding': False, 'longitude': '-91.018708', 'latitude': '34.06035', 'human_address': '{""address"":"""",""city"":""MISSISSIPPI"",""state"":"""",""zip"":""""}'}",
TENNESSEE,2017,4,28,,28,,34,,121,,103,,"{'needs_recoding': False, 'longitude': '-90.83704', 'latitude': '40.412679', 'human_address': '{""address"":"""",""city"":""TENNESSEE"",""state"":"""",""zip"":""""}'}",
W.S. CENTRAL,2017,4,202,,202,,370,,1203,,1548,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",W.S. CENTRAL
